title,price,avg_rating,total_ratings_and_reviews,avg_camera_rating,avg_battery_rating,avg_display_rating,avg_design_rating
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)(4 GB RAM)","9,699",4.4,"1,26,250 Ratings&7,344 Reviews",3.7,4.2,4.0,4.0
"POCO C50 (Royal Blue, 32 GB)(2 GB RAM)","5,749",4.4,"3,204 Ratings&151 Reviews",3.5,4.2,3.9,4.1
"POCO C50 (Country Green, 32 GB)(2 GB RAM)","5,749",4.4,"3,204 Ratings&151 Reviews",3.5,4.2,3.9,4.1
"REDMI 10 (Caribbean Green, 64 GB)(4 GB RAM)","9,299",4.3,"1,93,536 Ratings&12,428 Reviews",3.6,4.1,3.9,3.9
"REDMI 10 (Pacific Blue, 64 GB)(4 GB RAM)","9,299",4.3,"1,93,536 Ratings&12,428 Reviews",3.6,4.1,3.9,3.9
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)(4 GB RAM)","9,699",4.4,"1,26,250 Ratings&7,344 Reviews",3.7,4.2,4.0,4.0
"REDMI 10 (Midnight Black, 64 GB)(4 GB RAM)","9,299",4.3,"1,93,536 Ratings&12,428 Reviews",3.6,4.1,3.9,3.9
"REDMI 10 (Shadow Black, 64 GB)(4 GB RAM)","9,299",4.3,"1,93,536 Ratings&12,428 Reviews",3.6,4.1,3.9,3.9
"Infinix HOT 20 Play (Racing Black, 64 GB)(4 GB RAM)","8,199",4.4,"10,577 Ratings&614 Reviews",3.7,4.3,4.1,4.1
"Infinix HOT 20 Play (Luna Blue, 64 GB)(4 GB RAM)","8,199",4.4,"10,577 Ratings&614 Reviews",3.7,4.3,4.1,4.1
"Infinix HOT 20 Play (Aurora Green, 64 GB)(4 GB RAM)","8,199",4.4,"10,577 Ratings&614 Reviews",3.7,4.3,4.1,4.1
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)(4 GB RAM)","8,199",4.4,"10,577 Ratings&614 Reviews",3.7,4.3,4.1,4.1
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)(4 GB RAM)","9,699",4.4,"1,26,250 Ratings&7,344 Reviews",3.7,4.2,4.0,4.0
"APPLE iPhone 14 (Purple, 128 GB)","71,999",4.7,"18,135 Ratings&782 Reviews",4.6,4.4,4.7,4.6
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)(6 GB RAM)","14,999",4.3,"1,62,545 Ratings&12,915 Reviews",3.8,4.0,4.0,4.0
"APPLE iPhone 11 (White, 64 GB)","40,999",4.6,"1,85,978 Ratings&10,886 Reviews",4.5,4.2,4.4,4.3
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)(6 GB RAM)","14,999",4.3,"1,62,545 Ratings&12,915 Reviews",3.8,4.0,4.0,4.0
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)(6 GB RAM)","14,999",4.3,"1,62,545 Ratings&12,915 Reviews",3.8,4.0,4.0,4.0
"MOTOROLA g52 (Charcoal Grey, 64 GB)(4 GB RAM)","10,999",4.2,"11,183 Ratings&1,342 Reviews",3.5,4.2,4.4,4.1
"MOTOROLA g52 (Metallic White, 128 GB)(6 GB RAM)","12,999",4.2,"29,286 Ratings&3,424 Reviews",3.5,4.2,4.4,4.2
"MOTOROLA g31 (Baby Blue, 128 GB)(6 GB RAM)","10,999",4.1,"13,922 Ratings&1,442 Reviews",3.6,4.0,4.2,3.9
"REDMI 10 (Sunrise Orange, 64 GB)(4 GB RAM)","9,299",4.3,"1,93,536 Ratings&12,428 Reviews",3.6,4.1,3.9,3.9
"APPLE iPhone 14 (Blue, 128 GB)","71,999",4.7,"18,135 Ratings&782 Reviews",4.6,4.4,4.7,4.6
"MOTOROLA g52 (Charcoal Grey, 128 GB)(6 GB RAM)","12,999",4.2,"29,286 Ratings&3,424 Reviews",3.5,4.2,4.4,4.2
